WELL_ID	Year	Month	Rate
34	1384	2	1,953
34	1384	3	1,952
34	1384	4	1,940
34	1384	5	1,918
34	1384	6	1,942
34	1384	7	1,918
34	1384	8	1,714
34	1384	9	1,497
34	1384	10	1,458
34	1384	11	1,366
34	1384	12	989
34	1385	1	981
34	1385	2	839
34	1385	3	768
34	1385	4	993
34	1385	5	1,025
34	1385	6	2,047
34	1385	7	2,025
34	1385	8	2,019
34	1385	9	9,564
34	1385	10	2,028
34	1385	11	2,037
34	1385	12	2,329
34	1386	1	2,402
34	1386	2	1,481
34	1386	3	1,434
34	1386	4	1,432
34	1386	5	1,459
34	1386	6	1,534
34	1386	7	1,486
34	1386	8	1,510
34	1386	9	1,482
34	1386	10	1,379
34	1386	11	1,450
34	1386	12	1,461
34	1387	1	1,505
34	1387	2	1,517
34	1387	3	1,519
34	1387	4	1,480
34	1387	5	1,448
34	1387	6	1,523
34	1387	7	1,450
34	1387	8	1,474
34	1387	9	1,419
34	1387	10	1,478
34	1387	11	1,444
34	1387	12	1,490
34	1388	1	1,546
34	1388	2	1,560
34	1388	3	1,482
34	1388	4	1,504
34	1388	5	1,492
34	1388	6	1,510
34	1388	7	1,478
34	1388	8	1,494
34	1388	9	1,500
34	1388	10	1,494
34	1388	11	1,504
34	1388	12	1,538
34	1389	1	1,535
34	1389	2	1,521
34	1389	3	1,494
34	1389	4	1,528
34	1389	5	1,490
34	1389	6	1,757
34	1389	7	1,949
34	1389	8	1,973
34	1389	9	1,944
34	1389	10	1,968
34	1389	11	1,972
34	1389	12	2,000
34	1390	1	1,982
34	1390	2	1,999
34	1390	3	1,941
34	1390	4	1,993
34	1390	5	1,999
34	1390	6	2,006
34	1390	7	2,020
34	1390	8	2,013
34	1390	9	2,014
34	1390	10	2,004
34	1390	11	1,999
34	1390	12	2,008
34	1391	1	2,016
34	1391	2	2,019
34	1391	3	2,021
34	1391	4	2,009
34	1391	5	1,899
34	1391	6	1,955
34	1391	7	2,008
34	1391	8	1,995
34	1391	9	2,056
34	1391	10	2,045
34	1391	11	1,986
34	1391	12	2,010
34	1392	1	1,958
34	1392	2	1,973
34	1392	3	1,971
34	1392	4	1,968
34	1392	5	2,047
34	1392	6	2,010
34	1392	7	2,015
34	1392	8	1,982
34	1392	9	1,996
34	1392	10	1,983
34	1392	11	2,005
34	1392	12	2,009
34	1393	1	2,027
34	1393	2	1,896
34	1393	3	1,966
34	1393	4	2,022
34	1393	5	1,929
34	1393	6	2,015
34	1393	7	1,999
34	1393	8	1,999
34	1393	9	2,010
34	1393	10	2,000
34	1393	11	2,000
34	1393	12	1,988
34	1394	1	1,997
34	1394	2	2,001
34	1394	3	1,990
34	1394	4	1,919
34	1394	5	2,001
34	1394	6	2,000
34	1394	7	2,000
34	1394	8	2,000
34	1394	9	2,069
34	1394	10	1,958
34	1394	11	1,780
34	1394	12	1,731
34	1395	1	2,086
34	1395	2	2,167
34	1395	3	2,135
34	1395	4	2,000
34	1395	5	2,001
34	1395	6	2,022
34	1395	7	2,025
34	1395	8	2,039
34	1395	9	1,965
34	1395	10	2,000
34	1395	11	2,021
34	1395	12	1,502
34	1396	1	1,504
34	1396	2	1,499
34	1396	3	1,501
34	1396	4	1,492
34	1396	5	1,500
34	1396	6	1,502
34	1396	7	1,500
34	1396	8	1,500
34	1396	9	1,496
34	1396	10	1,466
34	1396	11	1,498
34	1396	12	1,498
34	1397	1	1,506
34	1397	2	1,503
34	1397	3	1,501
34	1397	4	1,501
34	1397	5	1,501
34	1397	6	1,503
34	1397	7	1,515
34	1397	8	1,500
34	1397	9	1,502
34	1397	10	1,490
34	1397	11	1,501
34	1397	12	1,475
34	1398	1	1,450
34	1398	2	1,500
34	1398	3	1,500
34	1398	4	1,496
34	1398	5	1,500
34	1398	6	1,501
34	1398	7	1,497
34	1398	8	1,478
34	1398	9	1,332
34	1398	10	1,488
34	1398	11	1,492
34	1398	12	1,493
34	1399	1	1,501
34	1399	2	1,500
34	1399	3	1,505
34	1399	4	1,498
34	1399	5	1,499
34	1399	6	1,505
34	1399	7	1,508
34	1399	8	1,504
34	1399	9	1,521
34	1399	10	1,494
34	1399	11	1,528
34	1399	12	1,504
34	1400	1	1,496
34	1400	2	1,496
34	1400	3	1,582
34	1400	4	1,506
34	1400	5	1,493
34	1400	6	1,494
34	1400	7	1,496
34	1400	8	1,510
34	1400	9	1,501
34	1400	10	1,501
34			
37	1384	12	2,018
37	1385	1	1,936
37	1385	2	1,737
37	1385	3	1,674
37	1385	4	1,490
37	1385	5	1,531
37	1385	6	1,496
37	1385	7	1,519
37	1385	8	1,514
37	1385	9	1,489
37	1385	10	1,479
37	1385	11	1,513
37	1385	12	1,439
37	1386	1	1,455
37	1386	2	1,483
37	1386	3	1,433
37	1386	4	955
37	1386	5	970
37	1386	6	997
37	1386	7	992
37	1386	8	1,008
37	1386	9	989
37	1386	10	971
37	1386	11	719
37	1386	12	486
37	1387	1	504
37	1387	2	0
37	1387	3	0
37	1387	4	1,009
37	1387	5	534
37	1387	6	0
37	1387	7	0
37	1387	8	0
37	1387	9	0
37	1387	10	0
37	1387	11	0
37	1387	12	0
37	1388	1	0
37	1388	2	0
37	1388	3	0
37	1388	4	0
37	1388	5	0
37	1388	6	0
37	1388	7	0
37	1388	8	493
37	1388	9	500
37	1388	10	498
37	1388	11	515
37	1388	12	513
37	1389	1	525
37	1389	2	495
37	1389	3	503
37	1389	4	516
37	1389	5	504
37	1389	6	755
37	1389	7	522
37	1389	8	1,020
37	1389	9	1,015
37	1389	10	687
37	1389	11	1,501
37	1389	12	1,500
37	1390	1	1,487
37	1390	2	1,497
37	1390	3	1,450
37	1390	4	1,495
37	1390	5	1,501
37	1390	6	1,503
37	1390	7	1,533
37	1390	8	2,013
37	1390	9	2,013
37	1390	10	2,002
37	1390	11	1,999
37	1390	12	2,008
37	1391	1	2,005
37	1391	2	2,026
37	1391	3	2,019
37	1391	4	2,009
37	1391	5	1,897
37	1391	6	1,959
37	1391	7	2,000
37	1391	8	1,993
37	1391	9	2,056
37	1391	10	2,045
37	1391	11	1,990
37	1391	12	2,061
37	1392	1	1,954
37	1392	2	1,973
37	1392	3	1,973
37	1392	4	1,959
37	1392	5	0
37	1392	6	0
37	1392	7	0
37	1392	8	0
37	1392	9	0
37	1392	10	0
37	1392	11	1,919
37	1392	12	0
37	1393	1	0
37	1393	2	1,992
37	1393	3	1,974
37	1393	4	1,901
37	1393	5	2,055
37	1393	6	1,959
37	1393	7	0
37	1393	8	1,509
37	1393	9	2,062
37	1393	10	2,000
37	1393	11	1,999
37	1393	12	2,069
37	1394	1	1,997
37	1394	2	2,001
37	1394	3	1,990
37	1394	4	0
37	1394	5	0
37	1394	6	0
37	1394	7	0
37	1394	8	0
37	1394	9	0
37	1394	10	0
37	1394	11	0
37	1394	12	0
37	1395	1	0
37	1395	2	0
37	1395	3	0
37	1395	4	0
37	1395	5	0
37	1395	6	0
37	1395	7	0
37	1395	8	0
37	1395	9	0
